title,logo,docs_href
Python 2,python,https://www.python.org/download/releases/2.7/
Python 3,python,https://www.python.org/downloads/release/python-31010/
PHP,php,https://www.php.net/manual/en/
C,c,https://en.cppreference.com/w/c/language
C++,cplusplus,https://en.cppreference.com/w/cpp/language
VBA,dotnet,https://documentation.help/MS-VBA-Tips/documentation.pdf
Django,django,https://docs.djangoproject.com/en/5.1/releases/5.0/
DRF,django,https://www.django-rest-framework.org/
Flask,flask,https://flask.palletsprojects.com/en/2.2.x/changes/
FastAPI,fastapi,https://fastapi.tiangolo.com/release-notes/
Joomla,joomla,https://docs.joomla.org/
WordPress,wordpress,https://developer.wordpress.org/
MySQL,mysql,https://dev.mysql.com/doc/
PostgreSQL,postgresql,https://www.postgresql.org/docs/
Redis,redis,https://redis.io/documentation
SQLAlchemy,sqlalchemy,https://www.sqlalchemy.org/
Alembic,python,https://alembic.sqlalchemy.org/
Celery,celery,https://docs.celeryproject.org/en/stable/
Uvicorn,gunicorn,https://www.uvicorn.org/release-notes/
NumPy,numpy,https://numpy.org/doc/
Pandas,pandas,https://pandas.pydata.org/docs/
Matplotlib,plotly,https://matplotlib.org/stable/contents.html
TensorFlow,tensorflow,https://www.tensorflow.org/api_docs
Scikit Learn,scikitlearn,https://scikit-learn.org/stable/documentation.html
Seaborn,plotly,https://seaborn.pydata.org/
Docker,docker,https://docs.docker.com/
Nginx,nginx,https://nginx.org/en/docs/
Apache,apache,https://httpd.apache.org/docs/
GitHub Actions,githubactions,https://docs.github.com/en/actions
Pillow,python,https://pillow.readthedocs.io/en/stable/releasenotes/10.3.0.html
Requests,python,https://docs.python-requests.org/en/latest/community/updates/#version-2-27-1
Python Telegram Bot,telegram,https://docs.python-telegram-bot.org/en/v21.2/
Jinja,jinja,https://devdoc.net/python/jinja-2.10.1-doc/
CodeWars,codewars,https://docs.codewars.com/
LeetCode,leetcode,https://leetcode.com/problemset/all/
Arduino,arduino,https://www.arduino.cc/reference/en/
Jupyter,jupyter,https://jupyter.org/documentation
Yandex Cloud,yandexcloud,https://yandex.cloud/ru/docs
Google Cloud,googlecloud,https://cloud.google.com/docs
